Source,Target,Weight
ALLJOBSAREESSENTIAL,COVID19,1
ALLJOBSAREESSENTIAL,COVIDー19,1
ALLJOBSAREESSENTIAL,MAGA,1
ALLJOBSAREESSENTIAL,POTUS,1
ALLJOBSAREESSENTIAL,coronoavirus,1
AllJobsAreEssential,AllWorkersAreEssential,2
AllJobsAreEssential,BillGatesBioTerrorist,1
AllJobsAreEssential,BillGatesIsEvil,1
AllJobsAreEssential,BillGatesIsNotOurFriend,1
AllJobsAreEssential,BillGatesPublicEnemy1,1
AllJobsAreEssential,COVID,2
AllJobsAreEssential,COVID19,1
AllJobsAreEssential,ChinaMustPay,1
AllJobsAreEssential,DefendTheAmericanDream,2
AllJobsAreEssential,DoNotTrustThem,1
AllJobsAreEssential,EconomicWarfare,1
AllJobsAreEssential,Enough,1
AllJobsAreEssential,EnoughIsEnough,1
AllJobsAreEssential,Event201,1
AllJobsAreEssential,EveryoneShouldBePaidALivingWage,2
AllJobsAreEssential,FauciFraud,1
AllJobsAreEssential,FireBirx,3
AllJobsAreEssential,FireFauci,3
AllJobsAreEssential,GiveMeLiberty,3
AllJobsAreEssential,Govenors,1
AllJobsAreEssential,Holdovers,1
AllJobsAreEssential,IWantMyJobBack,1
AllJobsAreEssential,ItsCalledFraud,1
AllJobsAreEssential,NotASlave,3
AllJobsAreEssential,OneJobShouldBeEnough,2
AllJobsAreEssential,ReopenAmerica,1
AllJobsAreEssential,SocialEngineering,2
AllJobsAreEssential,StrongTradeUnionsStrongMiddleClassStrongAmerica,2
AllJobsAreEssential,SupportTradeUnions,2
AllJobsAreEssential,TarrantCounty,1
AllJobsAreEssential,Texas,1
AllJobsAreEssential,TrickleDownEconomicsNEVERWorks,2
AllJobsAreEssential,ValueAllWorkers,2
AllJobsAreEssential,WWG1WGA,2
AllJobsAreEssential,WWG1WGAWORLDWIDE,2
AllJobsAreEssential,WeWontStayHome,5
AllJobsAreEssential,WednesdayWisdom,1
AllJobsAreEssential,freedom,4
AllJobsAreEssential,tyranny,1
AllWorkersAreEssential,DefendTheAmericanDream,2
AllWorkersAreEssential,EveryoneShouldBePaidALivingWage,2
AllWorkersAreEssential,OneJobShouldBeEnough,2
AllWorkersAreEssential,StrongTradeUnionsStrongMiddleClassStrongAmerica,2
AllWorkersAreEssential,SupportTradeUnions,2
AllWorkersAreEssential,TrickleDownEconomicsNEVERWorks,2
AllWorkersAreEssential,ValueAllWorkers,2
BillGatesBioTerrorist,BillGatesIsEvil,2
BillGatesBioTerrorist,BillGatesIsNotOurFriend,2
BillGatesBioTerrorist,BillGatesPublicEnemy1,2
BillGatesBioTerrorist,COVID,2
BillGatesBioTerrorist,Enough,1
BillGatesBioTerrorist,Event201,2
BillGatesBioTerrorist,FireBirx,1
BillGatesBioTerrorist,FireFauci,1
BillGatesBioTerrorist,GiveMeLiberty,1
BillGatesBioTerrorist,SocialEngineering,1
BillGatesBioTerrorist,WWG1WGA,1
BillGatesBioTerrorist,WWG1WGAWORLDWIDE,1
BillGatesBioTerrorist,WednesdayWisdom,1
BillGatesBioTerrorist,tyranny,1
BillGatesIsEvil,BillGatesIsNotOurFriend,2
BillGatesIsEvil,BillGatesPublicEnemy1,2
BillGatesIsEvil,COVID,2
BillGatesIsEvil,Enough,1
BillGatesIsEvil,Event201,2
BillGatesIsEvil,FireBirx,1
BillGatesIsEvil,FireFauci,1
BillGatesIsEvil,GiveMeLiberty,1
BillGatesIsEvil,SocialEngineering,1
BillGatesIsEvil,WWG1WGA,1
BillGatesIsEvil,WWG1WGAWORLDWIDE,1
BillGatesIsEvil,WednesdayWisdom,1
BillGatesIsEvil,tyranny,1
BillGatesIsNotOurFriend,BillGatesPublicEnemy1,2
BillGatesIsNotOurFriend,COVID,2
BillGatesIsNotOurFriend,Enough,1
BillGatesIsNotOurFriend,Event201,2
BillGatesIsNotOurFriend,FireBirx,1
BillGatesIsNotOurFriend,FireFauci,1
BillGatesIsNotOurFriend,GiveMeLiberty,1
BillGatesIsNotOurFriend,SocialEngineering,1
BillGatesIsNotOurFriend,WWG1WGA,1
BillGatesIsNotOurFriend,WWG1WGAWORLDWIDE,1
BillGatesIsNotOurFriend,WednesdayWisdom,1
BillGatesIsNotOurFriend,tyranny,1
BillGatesPublicEnemy1,COVID,2
BillGatesPublicEnemy1,Enough,1
BillGatesPublicEnemy1,Event201,2
BillGatesPublicEnemy1,FireBirx,1
BillGatesPublicEnemy1,FireFauci,1
BillGatesPublicEnemy1,GiveMeLiberty,1
BillGatesPublicEnemy1,SocialEngineering,1
BillGatesPublicEnemy1,WWG1WGA,1
BillGatesPublicEnemy1,WWG1WGAWORLDWIDE,1
BillGatesPublicEnemy1,WednesdayWisdom,1
BillGatesPublicEnemy1,tyranny,1
COVID,ChinaMustPay,1
COVID,DoNotTrustThem,1
COVID,EconomicWarfare,1
COVID,Enough,1
COVID,Event201,2
COVID,FireBirx,2
COVID,FireFauci,2
COVID,GiveMeLiberty,2
COVID,Holdovers,1
COVID,ItsCalledFraud,1
COVID,SocialEngineering,2
COVID,WWG1WGA,2
COVID,WWG1WGAWORLDWIDE,2
COVID,WednesdayWisdom,1
COVID,tyranny,1
COVID19,COVIDー19,1
COVID19,MAGA,1
COVID19,POTUS,1
COVID19,ReopenAmerica,1
COVID19,coronoavirus,1
COVIDー19,MAGA,1
COVIDー19,POTUS,1
COVIDー19,coronoavirus,1
ChinaMustPay,DoNotTrustThem,1
ChinaMustPay,EconomicWarfare,1
ChinaMustPay,FireBirx,1
ChinaMustPay,FireFauci,1
ChinaMustPay,GiveMeLiberty,1
ChinaMustPay,Holdovers,1
ChinaMustPay,ItsCalledFraud,1
ChinaMustPay,SocialEngineering,1
ChinaMustPay,WWG1WGA,1
ChinaMustPay,WWG1WGAWORLDWIDE,1
DefendTheAmericanDream,EveryoneShouldBePaidALivingWage,2
DefendTheAmericanDream,OneJobShouldBeEnough,2
DefendTheAmericanDream,StrongTradeUnionsStrongMiddleClassStrongAmerica,2
DefendTheAmericanDream,SupportTradeUnions,2
DefendTheAmericanDream,TrickleDownEconomicsNEVERWorks,2
DefendTheAmericanDream,ValueAllWorkers,2
DoNotTrustThem,EconomicWarfare,1
DoNotTrustThem,FireBirx,1
DoNotTrustThem,FireFauci,1
DoNotTrustThem,GiveMeLiberty,1
DoNotTrustThem,Holdovers,1
DoNotTrustThem,ItsCalledFraud,1
DoNotTrustThem,SocialEngineering,1
DoNotTrustThem,WWG1WGA,1
DoNotTrustThem,WWG1WGAWORLDWIDE,1
EconomicWarfare,FireBirx,1
EconomicWarfare,FireFauci,1
EconomicWarfare,GiveMeLiberty,1
EconomicWarfare,Holdovers,1
EconomicWarfare,ItsCalledFraud,1
EconomicWarfare,SocialEngineering,1
EconomicWarfare,WWG1WGA,1
EconomicWarfare,WWG1WGAWORLDWIDE,1
Enough,Event201,1
Enough,FireBirx,1
Enough,FireFauci,1
Enough,GiveMeLiberty,1
Enough,SocialEngineering,1
Enough,WWG1WGA,1
Enough,WWG1WGAWORLDWIDE,1
Enough,WednesdayWisdom,1
Enough,tyranny,1
EnoughIsEnough,FauciFraud,1
EnoughIsEnough,FireBirx,1
EnoughIsEnough,FireFauci,1
EnoughIsEnough,GiveMeLiberty,1
EnoughIsEnough,Govenors,1
EnoughIsEnough,IWantMyJobBack,1
EnoughIsEnough,freedom,1
Event201,FireBirx,1
Event201,FireFauci,1
Event201,GiveMeLiberty,1
Event201,SocialEngineering,1
Event201,WWG1WGA,1
Event201,WWG1WGAWORLDWIDE,1
Event201,WednesdayWisdom,1
Event201,tyranny,1
EveryoneShouldBePaidALivingWage,OneJobShouldBeEnough,2
EveryoneShouldBePaidALivingWage,StrongTradeUnionsStrongMiddleClassStrongAmerica,2
EveryoneShouldBePaidALivingWage,SupportTradeUnions,2
EveryoneShouldBePaidALivingWage,TrickleDownEconomicsNEVERWorks,2
EveryoneShouldBePaidALivingWage,ValueAllWorkers,2
FauciFraud,FireBirx,1
FauciFraud,FireFauci,1
FauciFraud,GiveMeLiberty,1
FauciFraud,Govenors,1
FauciFraud,IWantMyJobBack,1
FauciFraud,freedom,1
FireBirx,FireFauci,3
FireBirx,GiveMeLiberty,3
FireBirx,Govenors,1
FireBirx,Holdovers,1
FireBirx,IWantMyJobBack,1
FireBirx,ItsCalledFraud,1
FireBirx,SocialEngineering,2
FireBirx,WWG1WGA,2
FireBirx,WWG1WGAWORLDWIDE,2
FireBirx,WednesdayWisdom,1
FireBirx,freedom,1
FireBirx,tyranny,1
FireFauci,GiveMeLiberty,3
FireFauci,Govenors,1
FireFauci,Holdovers,1
FireFauci,IWantMyJobBack,1
FireFauci,ItsCalledFraud,1
FireFauci,SocialEngineering,2
FireFauci,WWG1WGA,2
FireFauci,WWG1WGAWORLDWIDE,2
FireFauci,WednesdayWisdom,1
FireFauci,freedom,1
FireFauci,tyranny,1
GiveMeLiberty,Govenors,1
GiveMeLiberty,Holdovers,1
GiveMeLiberty,IWantMyJobBack,1
GiveMeLiberty,ItsCalledFraud,1
GiveMeLiberty,SocialEngineering,2
GiveMeLiberty,WWG1WGA,2
GiveMeLiberty,WWG1WGAWORLDWIDE,2
GiveMeLiberty,WednesdayWisdom,1
GiveMeLiberty,freedom,1
GiveMeLiberty,tyranny,1
Govenors,IWantMyJobBack,1
Govenors,freedom,1
Holdovers,ItsCalledFraud,1
Holdovers,SocialEngineering,1
Holdovers,WWG1WGA,1
Holdovers,WWG1WGAWORLDWIDE,1
IWantMyJobBack,freedom,1
ItsCalledFraud,SocialEngineering,1
ItsCalledFraud,WWG1WGA,1
ItsCalledFraud,WWG1WGAWORLDWIDE,1
LockdownSA,alljobsareessential,1
LockdownSA,stopthegoodsban,1
MAGA,POTUS,1
MAGA,coronoavirus,1
NotASlave,WeWontStayHome,3
NotASlave,freedom,3
OneJobShouldBeEnough,StrongTradeUnionsStrongMiddleClassStrongAmerica,2
OneJobShouldBeEnough,SupportTradeUnions,2
OneJobShouldBeEnough,TrickleDownEconomicsNEVERWorks,2
OneJobShouldBeEnough,ValueAllWorkers,2
OpenTheState,allbusinessisessential,1
OpenTheState,alljobsareessential,1
POTUS,coronoavirus,1
SocialEngineering,WWG1WGA,2
SocialEngineering,WWG1WGAWORLDWIDE,2
SocialEngineering,WednesdayWisdom,1
SocialEngineering,tyranny,1
StrongTradeUnionsStrongMiddleClassStrongAmerica,SupportTradeUnions,2
