Source,Target,Weight
[Name Redacted],AllJobsAreEssential,4
[Name Redacted],BillGatesBioTerrorist,1
[Name Redacted],BillGatesIsEvil,1
[Name Redacted],BillGatesIsNotOurFriend,1
[Name Redacted],BillGatesPublicEnemy1,1
[Name Redacted],COVID,2
[Name Redacted],ChinaMustPay,1
[Name Redacted],DoNotTrustThem,1
[Name Redacted],EconomicWarfare,1
[Name Redacted],Enough,1
[Name Redacted],EnoughIsEnough,1
[Name Redacted],Event201,1
[Name Redacted],FauciFraud,1
[Name Redacted],FireBirx,3
[Name Redacted],FireFauci,3
[Name Redacted],GiveMeLiberty,3
[Name Redacted],Govenors,1
[Name Redacted],Holdovers,1
[Name Redacted],IWantMyJobBack,1
[Name Redacted],ItsCalledFraud,1
[Name Redacted],SocialEngineering,2
[Name Redacted],TarrantCounty,1
[Name Redacted],Texas,1
[Name Redacted],WWG1WGA,2
[Name Redacted],WWG1WGAWORLDWIDE,2
[Name Redacted],WednesdayWisdom,1
[Name Redacted],freedom,1
[Name Redacted],tyranny,1
[Name Redacted],AllJobsAreEssential,2
[Name Redacted],AllWorkersAreEssential,2
[Name Redacted],DefendTheAmericanDream,2
[Name Redacted],EveryoneShouldBePaidALivingWage,2
[Name Redacted],OneJobShouldBeEnough,2
[Name Redacted],StrongTradeUnionsStrongMiddleClassStrongAmerica,2
[Name Redacted],SupportTradeUnions,2
[Name Redacted],TrickleDownEconomicsNEVERWorks,2
[Name Redacted],ValueAllWorkers,2
[Name Redacted],alljobsareessential,4
[Name Redacted],endthelockdown,1
[Name Redacted],wewontstayhome,4
[Name Redacted],alljobsareessential,1
[Name Redacted],endthelockdown,1
[Name Redacted],wewontstayhome,1
[Name Redacted],AllJobsAreEssential,1
[Name Redacted],NotASlave,1
[Name Redacted],WeWontStayHome,1
[Name Redacted],freedom,1
[Name Redacted],BillGatesBioTerrorist,1
[Name Redacted],BillGatesIsEvil,1
[Name Redacted],BillGatesIsNotOurFriend,1
[Name Redacted],BillGatesPublicEnemy1,1
[Name Redacted],COVID,1
[Name Redacted],Event201,1
[Name Redacted],AllJobsAreEssential,1
[Name Redacted],WeWontStayHome,1
[Name Redacted],AllJobsAreEssential,1
[Name Redacted],NotASlave,1
[Name Redacted],WeWontStayHome,1
[Name Redacted],freedom,1
[Name Redacted],alljobsareessential,1
[Name Redacted],wewontstayhome,1
[Name Redacted],alljobsareessential,1
[Name Redacted],endthelockdown,1
[Name Redacted],wewontstayhome,1
[Name Redacted],LockdownSA,1
[Name Redacted],allbussinessisessential,1
[Name Redacted],allgoodsareessential,1
[Name Redacted],alljobsareessential,3
[Name Redacted],lockdownSa,1
[Name Redacted],stoptabaccoban,1
[Name Redacted],stoptheboozeban,1
[Name Redacted],stopthegoodsban,2
[Name Redacted],stopthesmokesban,1
[Name Redacted],AllJobsAreEssential,1
[Name Redacted],WeWontStayHome,1
[Name Redacted],AllJobsAreEssential,1
[Name Redacted],COVID19,1
[Name Redacted],ReopenAmerica,1
[Name Redacted],alljobsareessential,2
[Name Redacted],endthelockdown,1
[Name Redacted],wewontstayhome,2
[Name Redacted],AllJobsAreEssential,1
[Name Redacted],NotASlave,1
[Name Redacted],WeWontStayHome,1
[Name Redacted],freedom,1
[Name Redacted],OpenTheState,1
[Name Redacted],allbusinessisessential,1
[Name Redacted],alljobsareessential,1
[Name Redacted],alljobsareessential,1
[Name Redacted],wewontstayhome,1
[Name Redacted],ALLJOBSAREESSENTIAL,1
[Name Redacted],COVID19,1
[Name Redacted],COVIDー19,1
[Name Redacted],MAGA,1
[Name Redacted],POTUS,1
[Name Redacted],coronoavirus,1
