Source,Target,Weight
[Name Redacted],EndTheLockdown,1
[Name Redacted],StopConfinement,1
[Name Redacted],CoronaVirus,1
[Name Redacted],Covid19,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],BillGates,1
[Name Redacted],COVIDPURPOSE,1
[Name Redacted],CovidPurpose,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],No60GhzNe,1
[Name Redacted],BurnYourFuckingHouseDown,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],FilmYourHospital,1
[Name Redacted],CoronaVirusHOAX,1
[Name Redacted],endthelockdown,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],endtheignorance,1
[Name Redacted],BacktoWorkAmerica,1
[Name Redacted],EndTheShutdown,2
[Name Redacted],endthelockdown,2
[Name Redacted],endthelockdown,1
[Name Redacted],firefauci,1
[Name Redacted],endthelockdown,1
[Name Redacted],firefauci,1
[Name Redacted],COVID19,1
[Name Redacted],endthelockdown,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],NoMoreDebt,1
[Name Redacted],BillGatesVirus,1
[Name Redacted],CoronaCrap,1
[Name Redacted],CoronaVirushoax,1
[Name Redacted],Coronahoax,1
[Name Redacted],DontTrustBillGates,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],EndTheShutdown,1
[Name Redacted],FakePandemic,1
[Name Redacted],GatesOfHell,1
[Name Redacted],ID2020,1
[Name Redacted],NoVaccineForMe,1
[Name Redacted],Plandemic,1
[Name Redacted],Plannedemic,1
[Name Redacted],Scamdemic,1
[Name Redacted],billhates,1
[Name Redacted],digitalvaccine,1
[Name Redacted],fuckbillgates,1
[Name Redacted],EndTheShutdown,1
[Name Redacted],coronavirus,1
[Name Redacted],endthelockdown,1
[Name Redacted],gooutandhugsomeone,1
[Name Redacted],CoronaVirus,1
[Name Redacted],Covid19,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],ShutDownTheShutDown,1
[Name Redacted],CDC,1
[Name Redacted],COVID19,1
[Name Redacted],Freedom,1
[Name Redacted],vaccines,1
[Name Redacted],CoronaVirus,1
[Name Redacted],Covid19,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],Coronavirussouthafrica,1
[Name Redacted],Day13ofLockdown,1
[Name Redacted],EndTheShutdown,1
[Name Redacted],endthelockdown,1
[Name Redacted],lagoslockdown,1
[Name Redacted],CoronaVirus,2
[Name Redacted],Covid19,2
[Name Redacted],EndTheLockdown,2
[Name Redacted],COVID__19,1
[Name Redacted],Melbourne,1
[Name Redacted],coronavirus,1
[Name Redacted],endthelockdown,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],EndTheTyranny,1
[Name Redacted],EndTheLockDown,1
[Name Redacted],EndTheShutdown,2
[Name Redacted],FireFauci,2
[Name Redacted],HappyEaster,1
[Name Redacted],MichaelBurry,2
[Name Redacted],endthelockdown,3
[Name Redacted],EasterSunday,1
[Name Redacted],EndTheLockDown,1
[Name Redacted],FireFauci,1
[Name Redacted],HappyEaster,1
[Name Redacted],coronavirus,1
[Name Redacted],endthelockdown,1
[Name Redacted],quarentine,1
[Name Redacted],EndCoronavirus,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],GetBackToNormal,1
[Name Redacted],MakeItHappen,1
[Name Redacted],PrayForTheWorld,1
[Name Redacted],PrayersNeeded,1
[Name Redacted],CoronaVirus,1
[Name Redacted],Covid19,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],CoronaVirus,1
[Name Redacted],Covid19,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],EndTheShutdown,1
[Name Redacted],LagosUnrest,1
[Name Redacted],Nigeria,1
[Name Redacted],SOS,1
[Name Redacted],endthelockdown,1
[Name Redacted],endCCP,1
[Name Redacted],endthelockdown,1
[Name Redacted],exitchina,1
[Name Redacted],EndTheLockDown,1
[Name Redacted],HappyEaster,1
[Name Redacted],CoronaVirus,1
[Name Redacted],Covid19,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],COVID19,1
[Name Redacted],EndTheShutdown,3
[Name Redacted],PiersMorgan,1
[Name Redacted],endthelockdown,3
[Name Redacted],COVID19,3
[Name Redacted],EndTheLockdown,1
[Name Redacted],endthelockdown,2
[Name Redacted],CoronaVirus,1
[Name Redacted],Covid19,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],billgatesvirus,1
[Name Redacted],endthelockdown,1
[Name Redacted],EndTheLockdown,2
[Name Redacted],Government,2
[Name Redacted],Governor,2
[Name Redacted],Governors,2
[Name Redacted],ImpeachWhitmer,2
[Name Redacted],Michigan,2
[Name Redacted],MichiganStrong,2
[Name Redacted],OpenAmericaAgain,2
[Name Redacted],OpenAmericaNow,2
[Name Redacted],RecallGovWhitmer,2
[Name Redacted],RemoveWhitmer,2
[Name Redacted],ResignNow,2
[Name Redacted],SocialDistancing,2
[Name Redacted],WeThePeople,2
[Name Redacted],Whitmer,2
[Name Redacted],michiganlockdown,2
[Name Redacted],michiganshutdown,2
[Name Redacted],recallwhitmer,2
[Name Redacted],whitmerresign,2
[Name Redacted],WeDoNotConsent,2
[Name Redacted],endthelockdown,2
[Name Redacted],endthefed,1
[Name Redacted],endthelockdown,1
[Name Redacted],EnoughIsEnough,1
[Name Redacted],endthelockdown,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],EndtheLockdown,2
[Name Redacted],Endthelockdownnow,1
[Name Redacted],endthelockdownnow,2
[Name Redacted],EndTheLockdown,1
[Name Redacted],s,1
[Name Redacted],EndTheShutdown,1
[Name Redacted],GeorgePell,1
[Name Redacted],covid19,1
[Name Redacted],endthelockdown,2
[Name Redacted],EndTheLockDown,1
[Name Redacted],EndTheShutdown,1
[Name Redacted],CoronaVirus,2
[Name Redacted],Covid19,2
[Name Redacted],EndTheLockdown,2
[Name Redacted],coronavirus,1
[Name Redacted],endthelockdown,1
[Name Redacted],endthelockdown,1
[Name Redacted],trudeauforprison,1
[Name Redacted],FireFauci,1
[Name Redacted],endthelockdown,1
[Name Redacted],getmad,1
[Name Redacted],CoronaVirus,1
[Name Redacted],Covid19,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],wakeupAmerica,1
[Name Redacted],CDC,1
[Name Redacted],COVID19,1
[Name Redacted],Freedom,1
[Name Redacted],vaccines,1
[Name Redacted],COVID,1
[Name Redacted],COVID19,1
[Name Redacted],COVID2019,1
[Name Redacted],COVIDー19,1
[Name Redacted],Covid_19,1
[Name Redacted],Easter,1
[Name Redacted],Easter2020,1
[Name Redacted],EasterSunday,1
[Name Redacted],EasterSunday2020,1
[Name Redacted],EndTheShutdown,1
[Name Redacted],EndTheShutdownNow,1
[Name Redacted],LockdownExtended,1
[Name Redacted],ResurrectionSunday,1
[Name Redacted],endthelockdown,1
[Name Redacted],endthesiege,1
[Name Redacted],lockdown,1
[Name Redacted],resurrection,1
[Name Redacted],scamdemic,1
[Name Redacted],CoronaVirus,1
[Name Redacted],Covid19,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],COVID19,1
[Name Redacted],Crisis,1
[Name Redacted],endthelockdown,1
[Name Redacted],billgates,1
[Name Redacted],coronavirus,1
[Name Redacted],coronavirusinindia,1
[Name Redacted],endthelockdown,1
[Name Redacted],italy,1
[Name Redacted],urugay,1
[Name Redacted],CoronaVirus,1
[Name Redacted],Covid19,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],BrendanMurphy,1
[Name Redacted],CrimeMinisterMorrison,1
[Name Redacted],endthelockdown,1
[Name Redacted],everyjobisessential,1
[Name Redacted],FireFauci,1
[Name Redacted],endthelockdown,1
[Name Redacted],TrudeauForTreason,1
[Name Redacted],endthelockdown,1
[Name Redacted],EndTheShutdown,18
[Name Redacted],Event201,1
[Name Redacted],OutOfShadows,17
[Name Redacted],endthelockdown,21
[Name Redacted],endtheshutdown,3
[Name Redacted],outofshadows,1
[Name Redacted],CoronaVirus,1
[Name Redacted],Covid19,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],CoronaVirus,1
[Name Redacted],Covid19,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],TWGRP,1
[Name Redacted],WuhanVirus,1
[Name Redacted],EndTheLockdown,2
[Name Redacted],ThinkForYourself,2
[Name Redacted],EndTheLockdown,1
[Name Redacted],endthismadness,1
[Name Redacted],endthelockdown,1
[Name Redacted],lockdown,1
[Name Redacted],COVID19AB,1
[Name Redacted],ableg,1
[Name Redacted],endthelockdown,1
[Name Redacted],yeg,1
[Name Redacted],yyc,1
[Name Redacted],COVID__19,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],CoronaVirus,1
[Name Redacted],Covid19,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],wakeupAmerica,1
[Name Redacted],emptyhospital,1
[Name Redacted],endthelockdown,1
[Name Redacted],CoronaVirus,1
[Name Redacted],Covid19,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],CoronaVirus,1
[Name Redacted],Covid19,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],Covid_19,1
[Name Redacted],Lebanon,1
[Name Redacted],endthelockdown,2
[Name Redacted],venezuela,1
[Name Redacted],EndTheLockDown,1
[Name Redacted],HappyEaster,1
[Name Redacted],CoronaVirus,1
[Name Redacted],Covid19,1
[Name Redacted],EndTheLockdown,1
[Name Redacted],Trump2020,1
[Name Redacted],endthelockdown,1
[Name Redacted],BehavioralScience,36
[Name Redacted],COVID19,36
[Name Redacted],Censorship,36
[Name Redacted],Coronavirus,36
[Name Redacted],MassSurveillance,36
[Name Redacted],NWO,36
[Name Redacted],NoVaccineForMe,35
[Name Redacted],PoliceState,36
[Name Redacted],PoliceStateUK,36
[Name Redacted],RecallParliament,1
[Name Redacted],RevolutionNow,36
[Name Redacted],Stasi,36
[Name Redacted],ToriesOut,36
[Name Redacted],behavioraleconomics,34
[Name Redacted],endthelockdown,36
[Name Redacted],ENDTheLockDown,1
[Name Redacted],FireFauci,1
[Name Redacted],EndTimes,1
[Name Redacted],endthelockdown,1
[Name Redacted],COVID,1
[Name Redacted],COVID19,1
[Name Redacted],ICU,1
[Name Redacted],NY,1
[Name Redacted],Sweden,1
[Name Redacted],coronavirus,1
