Source,Target,Weight
[Name Redacted],AmmonBundy,1
[Name Redacted],OpenAmericaNow,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],maga,1
[Name Redacted],FireFauci,2
[Name Redacted],LetsGetBackToWork,2
[Name Redacted],OPENAMERICANOW,2
[Name Redacted],CDC,1
[Name Redacted],COVID19,1
[Name Redacted],WWG1WGA,1
[Name Redacted],BacktoWorkAmerica,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],OpenTheEconomy,1
[Name Redacted],BenGarrisonCartoon,1
[Name Redacted],FireFauci,1
[Name Redacted],FireFauciHireShiva,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],Saturday,1
[Name Redacted],FireFauci,1
[Name Redacted],OpenAmericaNow,1
[Name Redacted],Plandemic,1
[Name Redacted],FireFauciNow,2
[Name Redacted],OPENAMERICANOW,2
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],whining,1
[Name Redacted],ChinaDemAgenda,1
[Name Redacted],CoronavirusFalseFlag,1
[Name Redacted],CoronavirusHoax,1
[Name Redacted],Coronaviruscoverup,1
[Name Redacted],GETBACK2WORK,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],UseCure,1
[Name Redacted],COVIDIOT,1
[Name Redacted],bloodonhishandshannity,1
[Name Redacted],chriswallace,1
[Name Redacted],covid_19,1
[Name Redacted],foxnews,1
[Name Redacted],happyeaster,1
[Name Redacted],maga,1
[Name Redacted],openamericanow,1
[Name Redacted],presidentialdisaster,1
[Name Redacted],reopenamerica,1
[Name Redacted],resist,1
[Name Redacted],socialdistancing,1
[Name Redacted],somanyreason,1
[Name Redacted],stateofemergency,1
[Name Redacted],sundayfunday,1
[Name Redacted],trumppandemic,1
[Name Redacted],votebymail,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],maga,1
[Name Redacted],China,1
[Name Redacted],Democrats,1
[Name Redacted],Tyranny,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],maga,1
[Name Redacted],1776shallcommenceagain,1
[Name Redacted],COVID19,2
[Name Redacted],CancelMSM,1
[Name Redacted],Conservative,1
[Name Redacted],Constitution,1
[Name Redacted],CoronaVirusHOAX,1
[Name Redacted],Covid_19,1
[Name Redacted],DemExit,1
[Name Redacted],ENOUGHISENOUGH,1
[Name Redacted],FIREFAUCI,1
[Name Redacted],FilmYourHospital,2
[Name Redacted],FireFauci,1
[Name Redacted],GreatAwakening,1
[Name Redacted],NOLATERTHANMAYFIRST,1
[Name Redacted],OPENAMERICANOW,14
[Name Redacted],OPENFLORIDANOW,1
[Name Redacted],OVERTHROWTHEDEEPSTATE,1
[Name Redacted],Plandemic,2
[Name Redacted],RevolutionNow,1
[Name Redacted],SAVEAMERICA,1
[Name Redacted],Tyranny,1
[Name Redacted],WeThePeople,1
[Name Redacted],coronavirus,3
[Name Redacted],drainingtheswamp,1
[Name Redacted],hydroxycholoroquine,1
[Name Redacted],revolution,2
[Name Redacted],zinc,1
[Name Redacted],DemsAreCCP,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],COVID19,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],COVIDー19,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],BenGarrisonCartoon,1
[Name Redacted],FireFauci,1
[Name Redacted],FireFauciHireShiva,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],Saturday,1
[Name Redacted],BenGarrisonCartoon,1
[Name Redacted],FireFauci,1
[Name Redacted],FireFauciHireShiva,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],Saturday,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],maga,1
[Name Redacted],DemsAreCCP,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],maga,1
[Name Redacted],BenGarrisonCartoon,1
[Name Redacted],FireFauci,1
[Name Redacted],FireFauciHireShiva,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],Saturday,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],SocialDistancing,1
[Name Redacted],StayHome,1
[Name Redacted],coronavirus,1
[Name Redacted],frontlineworkers,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],maga,1
[Name Redacted],CoronaHoax,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],philadelphiapolice,1
[Name Redacted],EndTheShutdown,2
[Name Redacted],ItsStillTheEconomyStupid,2
[Name Redacted],OPENAMERICANOW,2
[Name Redacted],BoycottChina,1
[Name Redacted],BringUSManufacturingHOME,1
[Name Redacted],OpenAmericaNow,1
[Name Redacted],SaturdayVibes,1
[Name Redacted],Walmart,1
[Name Redacted],OPENAMERICANOW,1
[Name Redacted],prayforamerica,1
[Name Redacted],MAGAts,1
[Name Redacted],OPENAMERICANOW,1
