Source,Target,Weight
AllJobsAre,WeWontStayHome,1
AllJobsAreEssential,NotASlave,3
AllJobsAreEssential,WeWontStayHome,5
AllJobsAreEssential,freedom,3
Coronavirus,CoronavirusLockdown,1
Coronavirus,DeepStateVirus,1
Coronavirus,OpenTexasNOW,1
Coronavirus,OpenUSA,1
Coronavirus,WeWontStayHome,1
CoronavirusLockdown,DeepStateVirus,1
CoronavirusLockdown,OpenTexasNOW,1
CoronavirusLockdown,OpenUSA,1
CoronavirusLockdown,WeWontStayHome,1
DeepStateVirus,OpenTexasNOW,1
DeepStateVirus,OpenUSA,1
DeepStateVirus,WeWontStayHome,1
EndTheShutdown,endthelockdown,1
EndTheShutdown,wewontstayhome,1
EnoughIsEnough,NCGOP,1
EnoughIsEnough,OpenNCBackUp,1
EnoughIsEnough,WeWontStayHome,1
EnoughIsEnough,coronavirus,1
EnoughIsEnough,ncga,1
EnoughIsEnough,ncpol,1
NCGOP,OpenNCBackUp,1
NCGOP,WeWontStayHome,1
NCGOP,coronavirus,1
NCGOP,ncga,1
NCGOP,ncpol,1
NotASlave,WeWontStayHome,3
NotASlave,freedom,3
OpenNCBackUp,WeWontStayHome,1
OpenNCBackUp,coronavirus,1
OpenNCBackUp,ncga,1
OpenNCBackUp,ncpol,1
OpenTexasNOW,OpenUSA,1
OpenTexasNOW,WeWontStayHome,1
OpenUSA,WeWontStayHome,1
WeWontStayHome,coronavirus,1
WeWontStayHome,freedom,3
WeWontStayHome,ncga,1
WeWontStayHome,ncpol,1
alljobsareessential,endthelockdown,4
alljobsareessential,wewontstayhome,10
coronavirus,ncga,1
coronavirus,ncpol,1
endthelockdown,wewontstayhome,8
ncga,ncpol,1
