Source,Target,Weight
[Name Redacted],AllJobsAre,1
[Name Redacted],WeWontStayHome,1
[Name Redacted],alljobsareessential,4
[Name Redacted],endthelockdown,1
[Name Redacted],wewontstayhome,4
[Name Redacted],EndTheShutdown,1
[Name Redacted],alljobsareessential,1
[Name Redacted],endthelockdown,4
[Name Redacted],wewontstayhome,4
[Name Redacted],AllJobsAreEssential,1
[Name Redacted],NotASlave,1
[Name Redacted],WeWontStayHome,1
[Name Redacted],freedom,1
[Name Redacted],EnoughIsEnough,1
[Name Redacted],NCGOP,1
[Name Redacted],OpenNCBackUp,1
[Name Redacted],WeWontStayHome,1
[Name Redacted],coronavirus,1
[Name Redacted],ncga,1
[Name Redacted],ncpol,1
[Name Redacted],AllJobsAreEssential,1
[Name Redacted],WeWontStayHome,1
[Name Redacted],AllJobsAreEssential,1
[Name Redacted],NotASlave,1
[Name Redacted],WeWontStayHome,1
[Name Redacted],freedom,1
[Name Redacted],alljobsareessential,1
[Name Redacted],wewontstayhome,1
[Name Redacted],Coronavirus,1
[Name Redacted],CoronavirusLockdown,1
[Name Redacted],DeepStateVirus,1
[Name Redacted],OpenTexasNOW,1
[Name Redacted],OpenUSA,1
[Name Redacted],WeWontStayHome,1
[Name Redacted],alljobsareessential,1
[Name Redacted],endthelockdown,1
[Name Redacted],wewontstayhome,1
[Name Redacted],AllJobsAreEssential,1
[Name Redacted],WeWontStayHome,1
[Name Redacted],endthelockdown,1
[Name Redacted],wewontstayhome,1
[Name Redacted],alljobsareessential,2
[Name Redacted],endthelockdown,1
[Name Redacted],wewontstayhome,2
[Name Redacted],AllJobsAreEssential,1
[Name Redacted],NotASlave,1
[Name Redacted],WeWontStayHome,1
[Name Redacted],freedom,1
[Name Redacted],alljobsareessential,1
[Name Redacted],[Name Redacted],1
