Source,Target,Weight
ALLJOBSAREESSENTIAL,COVID19,1
ALLJOBSAREESSENTIAL,COVIDー19,1
ALLJOBSAREESSENTIAL,MAGA,1
ALLJOBSAREESSENTIAL,POTUS,1
ALLJOBSAREESSENTIAL,coronoavirus,1
COVID19,COVIDー19,1
COVID19,CoronavirusPandemic,1
COVID19,MAGA,1
COVID19,POTUS,2
COVID19,Recession,1
COVID19,coronavirus,4
COVID19,coronoavirus,1
COVID19,investment,1
COVID19,markets,1
COVIDー19,MAGA,1
COVIDー19,POTUS,1
COVIDー19,coronoavirus,1
CoronavirusPandemic,POTUS,1
CoronavirusPandemic,Recession,1
CoronavirusPandemic,coronavirus,1
CoronavirusPandemic,investment,1
CoronavirusPandemic,markets,1
MAGA,POTUS,1
MAGA,coronoavirus,1
POTUS,Recession,1
POTUS,coronavirus,1
POTUS,coronoavirus,1
POTUS,cuomo,1
POTUS,investment,1
POTUS,markets,1
POTUS,toolbag,1
Recession,coronavirus,1
Recession,investment,1
Recession,markets,1
Wyoming,hillside,1
coronavirus,investment,1
coronavirus,markets,1
cuomo,toolbag,1
investment,markets,1
